project_id,user_id,title,role,status,duration_days,tech_stack,start_date
p_00001,u_0001,Project 1,Full-Stack Engineer,completed,49,GraphQL,2024-06-17
p_00002,u_0001,Project 2,Full-Stack Engineer,completed,91,SQL,2026-01-29
p_00003,u_0001,Project 3,Full-Stack Engineer,completed,98,REST APIs,2025-06-16
p_00004,u_0001,Project 4,Full-Stack Engineer,completed,47,Git,2025-10-12
p_00005,u_0001,Project 5,Full-Stack Engineer,completed,81,React,2025-05-20
p_00006,u_0002,Project 6,DevOps Engineer,in_progress,110,HTML/CSS,2025-06-30
p_00007,u_0003,Project 7,Backend Engineer,completed,58,React,2026-03-22
p_00008,u_0003,Project 8,Backend Engineer,completed,118,TypeScript,2024-07-26
p_00009,u_0003,Project 9,Backend Engineer,completed,65,Microservices,2025-04-07
p_00010,u_0003,Project 10,Backend Engineer,completed,110,Kubernetes,2025-01-28
p_00011,u_0003,Project 11,Backend Engineer,completed,104,Unit Testing,2025-10-01
p_00012,u_0003,Project 12,Backend Engineer,completed,81,HTML/CSS,2024-06-15
p_00013,u_0004,Project 13,DevOps Engineer,in_progress,101,React,2024-09-10
p_00014,u_0004,Project 14,DevOps Engineer,in_progress,95,CI/CD,2025-08-19
p_00015,u_0005,Project 15,ML Engineer,completed,26,GraphQL,2026-04-04
p_00016,u_0005,Project 16,ML Engineer,completed,73,Git,2026-01-26
p_00017,u_0005,Project 17,ML Engineer,completed,80,PostgreSQL,2024-12-04
p_00018,u_0005,Project 18,ML Engineer,completed,15,Python,2024-08-11
p_00019,u_0005,Project 19,ML Engineer,completed,26,Redis,2024-09-17
p_00020,u_0005,Project 20,ML Engineer,completed,58,Git,2025-03-20
p_00021,u_0005,Project 21,ML Engineer,completed,18,Python,2026-02-27
p_00022,u_0006,Project 22,Backend Engineer,in_progress,95,TypeScript,2024-10-03
p_00023,u_0006,Project 23,Backend Engineer,completed,91,FastAPI,2025-06-22
p_00024,u_0006,Project 24,Backend Engineer,completed,96,Node.js,2024-12-09
p_00025,u_0007,Project 25,Frontend Engineer,completed,23,REST APIs,2025-03-13
p_00026,u_0007,Project 26,Frontend Engineer,completed,102,PostgreSQL,2025-02-21
p_00027,u_0007,Project 27,Frontend Engineer,completed,23,GraphQL,2024-08-05
p_00028,u_0007,Project 28,Frontend Engineer,completed,56,React,2025-02-22
p_00029,u_0008,Project 29,Backend Engineer,completed,39,MongoDB,2025-07-10
p_00030,u_0008,Project 30,Backend Engineer,completed,76,TypeScript,2024-10-28
p_00031,u_0008,Project 31,Backend Engineer,completed,69,AWS,2026-02-21
p_00032,u_0008,Project 32,Backend Engineer,completed,70,GraphQL,2024-09-16
p_00033,u_0008,Project 33,Backend Engineer,completed,23,Node.js,2025-02-14
p_00034,u_0008,Project 34,Backend Engineer,completed,16,Microservices,2024-11-02
p_00035,u_0009,Project 35,Full-Stack Engineer,completed,103,PostgreSQL,2025-07-08
p_00036,u_0009,Project 36,Full-Stack Engineer,completed,79,Microservices,2025-10-05
p_00037,u_0009,Project 37,Full-Stack Engineer,completed,107,Docker,2025-12-08
p_00038,u_0010,Project 38,ML Engineer,completed,82,CI/CD,2025-05-10
p_00039,u_0010,Project 39,ML Engineer,completed,65,React,2026-03-12
p_00040,u_0010,Project 40,ML Engineer,cancelled,96,Docker,2025-06-12
p_00041,u_0010,Project 41,ML Engineer,completed,57,Docker,2025-09-16
p_00042,u_0010,Project 42,ML Engineer,completed,51,AWS,2024-11-30
p_00043,u_0010,Project 43,ML Engineer,completed,63,AWS,2025-04-05
p_00044,u_0010,Project 44,ML Engineer,completed,27,CI/CD,2025-10-14
p_00045,u_0010,Project 45,ML Engineer,completed,94,REST APIs,2024-12-14
p_00046,u_0011,Project 46,Full-Stack Engineer,completed,89,Git,2025-10-16
p_00047,u_0011,Project 47,Full-Stack Engineer,completed,115,Kubernetes,2026-03-23
p_00048,u_0011,Project 48,Full-Stack Engineer,completed,82,REST APIs,2024-06-19
p_00049,u_0012,Project 49,Frontend Engineer,completed,19,Unit Testing,2024-10-02
p_00050,u_0012,Project 50,Frontend Engineer,completed,97,Redis,2025-09-15
p_00051,u_0012,Project 51,Frontend Engineer,in_progress,82,FastAPI,2026-01-17
p_00052,u_0012,Project 52,Frontend Engineer,completed,23,React,2024-10-25
p_00053,u_0012,Project 53,Frontend Engineer,completed,16,Microservices,2026-02-26
p_00054,u_0013,Project 54,Backend Engineer,completed,20,System Design,2024-09-10
p_00055,u_0013,Project 55,Backend Engineer,completed,35,Node.js,2024-08-07
p_00056,u_0013,Project 56,Backend Engineer,completed,27,TypeScript,2025-10-25
p_00057,u_0013,Project 57,Backend Engineer,completed,92,Git,2024-08-06
p_00058,u_0013,Project 58,Backend Engineer,completed,68,PostgreSQL,2025-07-19
p_00059,u_0013,Project 59,Backend Engineer,completed,101,Node.js,2025-12-13
p_00060,u_0014,Project 60,Full-Stack Engineer,completed,56,Docker,2024-10-04
p_00061,u_0015,Project 61,Full-Stack Engineer,completed,84,SQL,2025-08-26
p_00062,u_0015,Project 62,Full-Stack Engineer,completed,88,React,2024-10-17
p_00063,u_0015,Project 63,Full-Stack Engineer,completed,94,MongoDB,2025-06-23
p_00064,u_0015,Project 64,Full-Stack Engineer,completed,16,Microservices,2024-08-24
p_00065,u_0016,Project 65,Frontend Engineer,completed,89,System Design,2025-08-03
p_00066,u_0016,Project 66,Frontend Engineer,completed,115,Microservices,2024-10-10
p_00067,u_0016,Project 67,Frontend Engineer,completed,95,GraphQL,2025-11-20
p_00068,u_0017,Project 68,DevOps Engineer,completed,18,MongoDB,2024-12-04
p_00069,u_0017,Project 69,DevOps Engineer,completed,92,Docker,2026-03-07
p_00070,u_0017,Project 70,DevOps Engineer,completed,52,CI/CD,2025-08-05
p_00071,u_0017,Project 71,DevOps Engineer,completed,44,AWS,2024-10-01
p_00072,u_0017,Project 72,DevOps Engineer,cancelled,26,MongoDB,2025-06-08
p_00073,u_0017,Project 73,DevOps Engineer,in_progress,83,Redis,2025-01-13
p_00074,u_0018,Project 74,Backend Engineer,completed,115,FastAPI,2025-10-01
p_00075,u_0018,Project 75,Backend Engineer,completed,34,React,2024-07-28
p_00076,u_0018,Project 76,Backend Engineer,completed,50,AWS,2025-08-22
p_00077,u_0018,Project 77,Backend Engineer,completed,92,REST APIs,2024-07-17
p_00078,u_0019,Project 78,DevOps Engineer,completed,17,Microservices,2025-11-12
p_00079,u_0019,Project 79,DevOps Engineer,completed,44,REST APIs,2026-01-30
p_00080,u_0019,Project 80,DevOps Engineer,completed,67,AWS,2025-05-02
p_00081,u_0020,Project 81,ML Engineer,completed,108,HTML/CSS,2024-12-24
p_00082,u_0021,Project 82,DevOps Engineer,completed,20,HTML/CSS,2024-10-29
p_00083,u_0021,Project 83,DevOps Engineer,completed,92,REST APIs,2024-12-02
p_00084,u_0022,Project 84,DevOps Engineer,completed,94,CI/CD,2025-03-06
p_00085,u_0022,Project 85,DevOps Engineer,completed,30,React,2026-01-06
p_00086,u_0022,Project 86,DevOps Engineer,completed,31,TypeScript,2025-09-22
p_00087,u_0022,Project 87,DevOps Engineer,completed,35,PostgreSQL,2025-01-14
p_00088,u_0022,Project 88,DevOps Engineer,in_progress,91,SQL,2026-03-18
p_00089,u_0022,Project 89,DevOps Engineer,in_progress,35,Node.js,2025-12-21
p_00090,u_0023,Project 90,ML Engineer,completed,41,Node.js,2025-09-30
p_00091,u_0023,Project 91,ML Engineer,in_progress,49,Python,2025-08-15
p_00092,u_0023,Project 92,ML Engineer,completed,45,Git,2025-05-04
p_00093,u_0024,Project 93,Frontend Engineer,in_progress,14,HTML/CSS,2024-07-18
p_00094,u_0024,Project 94,Frontend Engineer,completed,74,Redis,2024-07-07
p_00095,u_0024,Project 95,Frontend Engineer,completed,64,Microservices,2024-09-11
p_00096,u_0024,Project 96,Frontend Engineer,completed,44,Docker,2025-12-26
p_00097,u_0024,Project 97,Frontend Engineer,completed,102,HTML/CSS,2025-01-12
p_00098,u_0024,Project 98,Frontend Engineer,completed,51,Git,2026-03-28
p_00099,u_0024,Project 99,Frontend Engineer,cancelled,16,Microservices,2025-04-11
p_00100,u_0024,Project 100,Frontend Engineer,completed,72,Node.js,2026-01-21
p_00101,u_0024,Project 101,Frontend Engineer,completed,72,REST APIs,2024-10-22
p_00102,u_0025,Project 102,DevOps Engineer,completed,104,Python,2026-03-07
p_00103,u_0025,Project 103,DevOps Engineer,completed,102,PostgreSQL,2025-11-28
p_00104,u_0025,Project 104,DevOps Engineer,completed,68,GraphQL,2026-02-20
p_00105,u_0025,Project 105,DevOps Engineer,completed,115,AWS,2024-08-24
p_00106,u_0025,Project 106,DevOps Engineer,completed,56,React,2025-11-12
p_00107,u_0025,Project 107,DevOps Engineer,in_progress,100,CI/CD,2024-07-25
p_00108,u_0026,Project 108,Backend Engineer,completed,60,CI/CD,2024-11-29
p_00109,u_0026,Project 109,Backend Engineer,completed,104,Docker,2025-12-29
p_00110,u_0026,Project 110,Backend Engineer,completed,40,FastAPI,2025-05-11
p_00111,u_0026,Project 111,Backend Engineer,completed,28,Microservices,2026-01-18
p_00112,u_0026,Project 112,Backend Engineer,in_progress,103,AWS,2025-01-19
p_00113,u_0026,Project 113,Backend Engineer,completed,48,Redis,2025-08-10
