perf_id,project_id,user_id,commitment,teamwork,quality,recorded_at
perf_p_00001,p_00001,u_0001,73,79,70,2025-11-19
perf_p_00002,p_00002,u_0001,73,74,81,2025-08-20
perf_p_00003,p_00003,u_0001,78,78,68,2026-03-19
perf_p_00004,p_00004,u_0001,77,74,93,2025-03-22
perf_p_00005,p_00005,u_0001,73,56,61,2024-10-14
perf_p_00007,p_00007,u_0003,72,74,63,2026-01-19
perf_p_00008,p_00008,u_0003,70,78,69,2025-07-24
perf_p_00009,p_00009,u_0003,81,70,64,2025-03-29
perf_p_00010,p_00010,u_0003,81,66,77,2025-09-10
perf_p_00011,p_00011,u_0003,87,67,77,2026-02-08
perf_p_00012,p_00012,u_0003,77,84,79,2025-02-11
perf_p_00015,p_00015,u_0005,100,84,55,2024-10-19
perf_p_00016,p_00016,u_0005,86,80,85,2025-12-29
perf_p_00017,p_00017,u_0005,96,88,87,2025-04-19
perf_p_00018,p_00018,u_0005,81,87,62,2025-02-22
perf_p_00019,p_00019,u_0005,95,81,95,2026-02-28
perf_p_00020,p_00020,u_0005,83,90,74,2025-01-23
perf_p_00021,p_00021,u_0005,78,90,86,2025-10-12
perf_p_00023,p_00023,u_0006,63,72,100,2024-11-26
perf_p_00024,p_00024,u_0006,84,66,72,2024-09-26
perf_p_00025,p_00025,u_0007,71,82,85,2026-03-25
perf_p_00026,p_00026,u_0007,84,56,78,2025-12-20
perf_p_00027,p_00027,u_0007,64,60,92,2025-02-23
perf_p_00028,p_00028,u_0007,83,75,64,2025-12-26
perf_p_00029,p_00029,u_0008,93,87,98,2025-05-31
perf_p_00030,p_00030,u_0008,90,77,100,2026-04-16
perf_p_00031,p_00031,u_0008,79,78,85,2025-07-01
perf_p_00032,p_00032,u_0008,73,99,90,2025-09-21
perf_p_00033,p_00033,u_0008,87,74,83,2025-07-29
perf_p_00034,p_00034,u_0008,79,98,75,2024-10-24
perf_p_00035,p_00035,u_0009,57,45,41,2025-05-19
perf_p_00036,p_00036,u_0009,54,43,56,2025-09-30
perf_p_00037,p_00037,u_0009,61,61,63,2024-11-24
perf_p_00038,p_00038,u_0010,87,100,73,2026-01-03
perf_p_00039,p_00039,u_0010,75,68,58,2025-12-31
perf_p_00041,p_00041,u_0010,88,85,100,2025-10-22
perf_p_00042,p_00042,u_0010,99,82,71,2025-08-13
perf_p_00043,p_00043,u_0010,92,85,72,2026-01-11
perf_p_00044,p_00044,u_0010,79,90,87,2026-03-23
perf_p_00045,p_00045,u_0010,90,91,72,2024-10-13
perf_p_00046,p_00046,u_0011,65,87,65,2024-11-13
perf_p_00047,p_00047,u_0011,80,66,54,2024-11-05
perf_p_00048,p_00048,u_0011,76,70,69,2025-11-18
perf_p_00049,p_00049,u_0012,82,96,82,2025-10-30
perf_p_00050,p_00050,u_0012,85,99,90,2025-12-17
perf_p_00052,p_00052,u_0012,92,73,74,2024-11-05
perf_p_00053,p_00053,u_0012,77,100,93,2025-08-27
perf_p_00054,p_00054,u_0013,98,86,94,2026-01-17
perf_p_00055,p_00055,u_0013,100,72,87,2025-02-22
perf_p_00056,p_00056,u_0013,100,85,98,2024-09-21
perf_p_00057,p_00057,u_0013,83,68,75,2025-04-02
perf_p_00058,p_00058,u_0013,100,94,77,2025-08-01
perf_p_00059,p_00059,u_0013,84,100,87,2025-02-09
perf_p_00060,p_00060,u_0014,49,56,57,2025-06-07
perf_p_00061,p_00061,u_0015,57,69,66,2025-12-16
perf_p_00062,p_00062,u_0015,90,63,55,2026-04-26
perf_p_00063,p_00063,u_0015,61,75,71,2025-03-22
perf_p_00064,p_00064,u_0015,60,76,72,2025-09-02
perf_p_00065,p_00065,u_0016,80,71,74,2026-04-24
perf_p_00066,p_00066,u_0016,81,67,60,2025-07-22
perf_p_00067,p_00067,u_0016,78,49,66,2026-02-04
perf_p_00068,p_00068,u_0017,65,61,57,2026-03-20
perf_p_00069,p_00069,u_0017,76,45,81,2025-08-20
perf_p_00070,p_00070,u_0017,76,74,60,2025-02-24
perf_p_00071,p_00071,u_0017,74,60,63,2025-12-02
perf_p_00074,p_00074,u_0018,61,58,91,2024-12-21
perf_p_00075,p_00075,u_0018,63,88,66,2024-12-26
perf_p_00076,p_00076,u_0018,73,70,72,2026-03-22
perf_p_00077,p_00077,u_0018,70,78,74,2024-10-14
perf_p_00078,p_00078,u_0019,62,53,71,2026-03-29
perf_p_00079,p_00079,u_0019,88,65,72,2026-01-04
