tasks_assigned,tasks_completed,overdue_tasks,quality_score,teamwork_score,attendance_rate,feedback_text,skill_match_score,avg_rating,availability_score,project_similarity,final_rating
16,12,2,3.9,4.5,1.0,Excellent performance and teamwork,0.72,4.9,0.65,0.73,4.29
10,8,2,3.7,2.2,0.87,Excellent performance and teamwork,0.7,4.2,0.37,0.52,3.66
13,6,7,3.0,2.9,0.89,Good but not consistent,0.56,3.4,0.85,0.7,3.0
13,8,3,2.3,4.9,0.79,Very committed and reliable,0.46,3.7,0.99,0.79,3.5
16,8,8,4.0,2.8,0.65,Outstanding contribution,0.78,4.6,0.54,0.58,3.35
17,0,17,2.1,4.1,0.95,Needs improvement in deadlines,0.59,3.6,0.58,0.72,2.44
14,13,0,4.6,4.5,0.7,Good but not consistent,0.82,2.7,0.85,0.7,4.1
14,11,0,2.6,3.5,0.7,Good but not consistent,0.82,4.1,1.0,0.77,3.57
8,7,0,4.1,4.1,0.92,Excellent performance and teamwork,0.83,2.7,0.54,0.64,3.95
8,4,2,4.1,4.0,0.98,Good but not consistent,0.45,4.6,0.92,0.51,3.78
5,4,1,4.2,2.1,0.96,Needs improvement in deadlines,0.51,4.1,0.85,0.63,3.76
20,0,2,4.1,4.8,0.74,Good but not consistent,0.96,2.7,0.38,0.55,2.69
18,10,1,3.9,4.5,0.76,Excellent performance and teamwork,0.45,3.6,0.6,0.41,3.61
13,1,6,3.0,4.0,0.63,Late submission and weak teamwork,0.95,2.8,0.54,0.57,2.39
17,15,0,2.6,3.2,0.94,Outstanding contribution,0.84,4.6,0.52,0.64,3.87
15,15,0,4.1,5.0,0.96,Very committed and reliable,0.64,5.0,0.62,0.83,4.8
12,4,5,4.5,3.8,0.89,Very committed and reliable,0.66,2.8,0.47,0.44,3.17
15,5,3,4.5,4.6,0.97,Very committed and reliable,0.81,4.2,0.93,0.46,3.64
10,3,4,2.4,3.7,0.93,Outstanding contribution,0.54,3.8,0.3,0.96,2.89
19,1,18,2.5,3.6,0.93,Excellent performance and teamwork,0.42,3.6,0.4,0.96,2.48
11,7,0,2.9,3.1,0.92,Very committed and reliable,0.63,3.3,0.98,0.67,3.27
16,9,6,3.6,3.1,0.97,Late submission and weak teamwork,0.78,4.4,0.34,0.97,3.55
18,16,2,4.2,2.1,0.92,Very committed and reliable,0.53,4.5,0.75,0.89,3.95
10,4,4,4.8,4.1,0.65,Excellent performance and teamwork,0.43,4.5,0.65,0.46,3.6
20,18,0,3.4,4.3,0.61,Very committed and reliable,0.96,4.7,0.85,0.63,4.14
13,1,5,2.2,2.3,0.96,Needs improvement in deadlines,0.76,3.3,0.58,0.88,2.16
20,14,6,4.7,4.0,0.7,Good but not consistent,0.76,2.7,0.46,0.55,3.68
19,13,5,2.1,3.4,0.91,Needs improvement in deadlines,0.78,4.0,0.59,0.95,3.38
18,0,6,3.7,4.5,0.6,Excellent performance and teamwork,1.0,2.7,0.99,0.78,2.48
18,8,6,4.0,4.4,0.87,Outstanding contribution,0.58,2.7,0.45,0.77,3.32
19,11,6,3.8,3.7,0.67,Needs improvement in deadlines,0.66,3.9,0.39,0.83,3.48
20,1,2,4.2,2.0,0.89,Very committed and reliable,0.57,4.9,0.55,0.86,2.74
14,3,4,3.1,3.5,0.62,Late submission and weak teamwork,0.44,5.0,0.87,0.96,2.95
11,9,0,3.0,2.1,0.63,Good but not consistent,0.76,4.2,0.89,0.91,3.4
17,7,10,4.6,3.1,0.93,Outstanding contribution,0.9,4.5,0.95,0.92,3.52
8,1,4,4.4,2.3,0.74,Late submission and weak teamwork,0.63,4.1,0.54,0.79,2.72
9,1,6,3.3,4.9,0.88,Outstanding contribution,0.76,3.4,0.39,0.94,2.93
18,10,7,4.1,3.8,0.86,Excellent performance and teamwork,0.83,4.4,0.36,0.93,3.72
10,9,1,4.9,4.1,0.98,Outstanding contribution,0.76,4.4,0.8,0.98,4.52
10,1,0,4.2,3.4,0.98,Outstanding contribution,0.66,3.1,0.42,0.65,2.78
15,2,10,3.7,4.8,0.7,Late submission and weak teamwork,0.77,3.0,0.35,0.48,2.85
13,9,1,3.4,2.0,0.85,Very committed and reliable,0.51,3.3,0.88,0.89,3.2
7,1,6,2.7,4.5,0.72,Excellent performance and teamwork,0.83,3.4,0.3,0.83,2.69
15,8,0,3.2,4.1,0.95,Late submission and weak teamwork,0.81,4.6,0.67,0.67,3.66
18,16,0,4.1,4.9,0.68,Good but not consistent,0.51,2.8,0.79,0.85,4.03
7,7,0,3.5,2.0,0.62,Outstanding contribution,0.79,4.6,0.79,0.72,3.83
5,0,1,3.4,4.2,0.95,Excellent performance and teamwork,0.6,2.7,0.82,0.93,2.54
10,3,2,3.1,4.9,0.8,Excellent performance and teamwork,0.76,2.8,0.52,0.47,3.01
13,9,0,4.1,3.4,0.8,Excellent performance and teamwork,0.93,4.5,0.42,0.95,3.84
15,3,5,3.7,2.1,0.75,Late submission and weak teamwork,0.63,4.1,0.75,0.74,2.65
18,7,5,3.9,2.2,0.72,Excellent performance and teamwork,0.92,4.1,0.87,0.71,2.98
20,2,13,3.7,4.3,0.73,Needs improvement in deadlines,0.98,4.2,0.74,0.46,2.96
5,2,0,2.0,3.8,0.95,Needs improvement in deadlines,0.58,4.2,0.47,0.99,3.08
9,1,8,4.3,3.0,0.98,Late submission and weak teamwork,0.71,2.6,0.61,0.47,2.64
20,16,2,3.5,2.4,0.88,Good but not consistent,0.61,3.1,0.82,0.99,3.44
7,7,0,3.7,4.4,0.71,Excellent performance and teamwork,0.49,4.1,0.98,0.44,4.29
6,3,0,2.6,2.2,0.66,Good but not consistent,0.67,3.6,0.46,0.55,2.76
7,3,0,4.7,2.9,0.76,Outstanding contribution,0.92,3.1,0.4,0.54,3.16
5,5,0,3.8,3.1,0.9,Needs improvement in deadlines,0.46,3.4,0.91,0.98,4.01
7,3,1,4.8,4.1,0.96,Needs improvement in deadlines,0.93,3.3,0.8,0.77,3.56
11,1,5,2.0,3.5,0.91,Excellent performance and teamwork,0.43,2.6,0.39,0.5,2.21
16,11,1,3.0,3.0,0.65,Excellent performance and teamwork,0.85,3.8,0.51,0.52,3.32
8,5,3,4.4,4.9,0.94,Late submission and weak teamwork,0.58,3.1,0.56,0.46,3.89
14,3,1,4.8,4.1,0.9,Needs improvement in deadlines,0.54,3.5,0.88,0.68,3.25
18,13,1,3.3,4.4,0.9,Very committed and reliable,0.99,2.7,0.69,0.68,3.61
17,15,2,4.2,4.2,0.65,Very committed and reliable,0.43,3.2,0.96,0.74,3.97
11,5,0,2.7,2.9,0.99,Very committed and reliable,0.52,3.8,0.81,0.72,3.06
15,2,1,2.7,2.5,0.87,Very committed and reliable,0.44,2.5,0.95,0.46,2.17
11,3,3,4.3,4.7,0.95,Outstanding contribution,0.44,2.5,0.39,0.73,3.18
5,3,0,2.1,2.1,0.97,Excellent performance and teamwork,0.49,4.2,0.88,0.59,3.06
20,15,0,2.9,4.4,0.75,Good but not consistent,0.66,3.3,0.49,0.97,3.62
20,1,7,3.7,3.8,0.65,Very committed and reliable,0.86,2.8,0.89,0.48,2.46
12,11,1,3.1,4.6,0.78,Very committed and reliable,0.4,4.4,0.52,0.93,4.19
17,5,5,4.4,3.4,0.7,Good but not consistent,0.72,2.8,0.51,0.92,2.91
12,4,6,4.5,3.3,0.65,Late submission and weak teamwork,0.9,3.6,0.79,0.41,3.11
18,14,4,2.5,4.0,0.83,Excellent performance and teamwork,0.8,2.6,0.89,0.45,3.4
18,4,7,4.0,3.8,0.76,Outstanding contribution,0.5,3.8,0.91,0.43,3.03
12,8,2,3.8,4.9,0.78,Needs improvement in deadlines,0.96,2.8,0.92,0.67,3.69
18,9,2,3.3,3.9,0.74,Needs improvement in deadlines,0.52,2.9,0.31,0.71,3.14
12,7,4,4.0,2.5,0.76,Late submission and weak teamwork,0.76,4.6,0.98,0.97,3.48
15,7,8,4.8,3.3,0.66,Outstanding contribution,0.69,3.7,0.87,0.48,3.39
20,15,0,3.9,3.6,0.68,Excellent performance and teamwork,0.48,4.1,0.59,0.46,3.78
5,1,0,4.2,4.5,0.87,Late submission and weak teamwork,0.46,4.3,0.67,0.58,3.33
7,0,3,2.5,4.7,0.88,Very committed and reliable,0.74,4.2,0.46,0.98,2.72
16,10,3,3.6,2.8,0.95,Needs improvement in deadlines,0.67,2.7,0.66,0.96,3.23
5,0,5,4.0,3.8,0.93,Very committed and reliable,0.75,3.4,0.95,0.52,2.71
9,0,6,3.4,2.9,0.94,Good but not consistent,0.53,3.0,0.75,0.62,2.33
18,3,15,4.6,3.8,0.67,Outstanding contribution,0.94,3.4,0.83,0.76,2.95
13,1,10,3.4,3.4,0.79,Excellent performance and teamwork,0.73,3.8,0.95,0.96,2.63
9,4,5,3.3,4.3,0.99,Outstanding contribution,0.49,3.5,0.42,0.49,3.38
18,4,5,3.0,2.5,0.83,Outstanding contribution,0.74,3.7,0.6,0.95,2.59
18,17,0,4.7,3.4,0.67,Outstanding contribution,0.65,4.2,0.64,0.86,4.21
16,12,2,3.4,2.3,0.89,Needs improvement in deadlines,0.45,4.4,0.32,0.89,3.59
8,5,3,5.0,3.2,0.7,Late submission and weak teamwork,0.7,3.3,0.32,0.93,3.59
7,5,0,2.7,3.5,0.84,Late submission and weak teamwork,0.44,3.9,0.85,0.94,3.51
8,8,0,3.0,3.5,0.76,Very committed and reliable,0.9,4.6,0.86,0.51,4.1
16,10,2,4.1,2.2,0.87,Very committed and reliable,0.86,2.5,0.38,0.48,3.13
11,1,2,3.7,3.3,0.65,Excellent performance and teamwork,0.55,4.7,0.58,0.48,2.8
19,3,16,3.2,2.9,0.93,Good but not consistent,0.73,4.4,0.55,0.41,2.8
8,4,1,3.9,4.9,0.83,Excellent performance and teamwork,0.9,3.0,0.43,0.55,3.53
18,1,17,2.0,3.3,0.75,Very committed and reliable,0.63,4.8,0.74,0.76,2.48
15,1,6,2.5,2.2,0.81,Very committed and reliable,0.55,3.2,0.43,0.96,2.08
8,0,8,3.7,2.3,0.74,Excellent performance and teamwork,0.63,3.8,0.61,0.63,2.33
18,7,8,2.0,2.4,0.76,Outstanding contribution,0.86,3.8,0.66,0.58,2.6
16,1,4,3.4,2.7,0.86,Very committed and reliable,0.89,3.1,0.49,0.5,2.36
7,1,4,2.1,4.8,0.92,Needs improvement in deadlines,0.57,2.7,0.9,0.53,2.59
14,10,0,3.9,2.7,0.97,Very committed and reliable,0.95,4.6,0.7,0.96,3.8
7,2,4,2.6,2.0,0.78,Late submission and weak teamwork,0.67,4.7,0.98,0.87,2.68
20,10,0,4.9,4.9,0.74,Late submission and weak teamwork,0.87,3.8,0.52,0.56,3.84
7,6,0,3.7,4.8,0.69,Very committed and reliable,0.62,4.6,0.5,0.9,4.25
10,2,4,2.2,2.2,0.99,Late submission and weak teamwork,0.71,2.6,0.62,0.54,2.2
5,3,0,4.2,4.8,0.89,Late submission and weak teamwork,0.76,4.9,0.82,0.94,4.13
9,7,1,4.5,2.5,0.84,Late submission and weak teamwork,0.56,3.5,0.77,0.72,3.69
20,0,6,4.3,4.7,0.66,Outstanding contribution,0.92,3.3,0.7,0.49,2.79
9,9,0,4.7,2.9,0.89,Needs improvement in deadlines,0.63,2.6,0.8,0.89,3.98
6,2,4,3.6,3.9,0.77,Excellent performance and teamwork,0.9,3.8,0.41,0.67,3.15
19,3,4,2.5,4.5,0.66,Excellent performance and teamwork,0.44,3.7,0.66,0.4,2.71
8,1,7,2.4,3.3,0.71,Late submission and weak teamwork,0.49,4.1,0.63,0.45,2.5
20,16,0,4.5,4.1,0.84,Outstanding contribution,0.6,4.5,0.95,0.67,4.24
16,12,3,2.4,3.4,0.77,Very committed and reliable,0.53,3.2,0.83,0.85,3.31
10,5,5,2.9,2.9,0.78,Good but not consistent,0.98,4.0,0.96,0.74,3.1
20,18,1,4.3,4.6,0.7,Very committed and reliable,0.4,4.9,0.61,0.7,4.46
12,8,3,4.5,2.7,0.6,Very committed and reliable,0.65,2.9,0.52,0.69,3.32
15,11,3,4.8,2.2,0.81,Needs improvement in deadlines,0.75,3.0,0.75,0.74,3.5
14,7,0,3.0,3.3,0.76,Late submission and weak teamwork,0.92,2.9,0.96,0.84,2.97
7,4,0,2.6,4.2,0.96,Very committed and reliable,0.91,3.9,0.7,0.6,3.48
14,5,3,3.1,4.6,0.68,Excellent performance and teamwork,0.52,3.7,0.52,0.71,3.16
10,5,5,4.7,3.8,0.81,Outstanding contribution,0.76,3.4,0.37,0.87,3.54
11,2,0,4.9,2.6,0.65,Good but not consistent,0.7,4.8,0.93,0.59,3.06
